timestamp,watts,vram_mb,temp_c
1787347381,20.28,620,82
1787347382,20.84,620,82
1787347383,20.65,620,82
1787347384,19.71,620,82
1787347385,21.37,620,82
1787347386,20.77,620,82
1787347387,20.39,620,82
1787347388,21.07,620,82
1787347389,20.76,620,82
1787347390,20.91,620,82
1787347391,20.85,620,82
1787347392,20.87,620,82
1787347393,20.46,620,82
1787347394,20.31,620,82
1787347395,20.51,620,82
1787347396,20.50,620,82
1787347397,20.78,620,82
1787347398,20.90,620,82
1787347399,19.66,620,82
1787347400,19.74,620,82
1787347401,19.54,620,82
1787347402,19.44,620,82
1787347403,19.41,620,82
1787347404,19.27,620,82
1787347405,19.41,620,82
1787347406,19.40,620,82
1787347407,19.29,620,82
1787347408,19.46,620,82
1787347409,19.42,620,82
1787347410,19.50,620,82
1787347411,19.44,620,82
1787347412,19.78,620,82
1787347413,19.85,620,82
1787347414,19.81,620,82
1787347415,20.34,620,82
1787347416,20.68,620,82
1787347417,19.28,620,82
1787347418,19.27,620,82
1787347419,19.28,620,82
1787347420,19.36,620,82
1787347421,19.56,620,82
1787347422,19.15,620,82
1787347423,19.12,620,82
1787347424,19.03,620,82
1787347425,18.50,620,81
1787347426,19.09,285,82
1787347427,16.44,285,81
1787347428,14.73,273,81
1787347429,11.69,273,79
1787347430,10.08,272,79
1787347431,9.92,271,79
1787347432,9.83,270,78
1787347433,9.86,270,78
1787347434,9.86,276,78
1787347435,12.39,294,79
1787347436,14.86,291,79
1787347437,14.60,290,79
1787347438,10.17,290,78
1787347439,10.23,289,78
1787347440,10.21,289,78
1787347441,10.40,613,78
1787347442,14.33,2359,79
1787347443,24.31,2347,80
1787347444,24.11,2331,81
1787347445,23.98,2331,81
1787347446,24.19,2331,81
1787347447,24.13,2331,81
1787347448,24.09,2331,81
1787347449,24.15,2331,81
1787347450,23.96,2331,81
1787347451,23.81,2331,81
1787347452,23.71,2331,81
1787347453,23.84,2331,81
1787347454,23.74,2331,81
1787347455,23.49,2331,81
1787347456,23.45,2331,81
1787347457,23.58,2331,82
1787347458,23.75,2331,82
1787347459,23.76,2331,82
1787347460,24.48,2331,82
1787347461,23.81,2331,82
1787347462,23.84,2331,82
1787347463,24.45,2331,82
